ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
ABBV,1/2/2015,65.62,66.4,65.49,65.89,5087291,0,1,59.86518774,60.57678247,59.74658862,60.11150899,5087291
ABBV,1/5/2015,65.5,66.1,63.88,64.65,8007433,0,1,59.75571163,60.30309219,58.2777841,58.98025583,8007433
ABBV,1/6/2015,65.62,65.75,63.7,64.33,5488071,0,1,59.86518774,59.98378686,58.11356993,58.68831952,5488071
ABBV,1/7/2015,64.57,67.05,64.48,66.93,8283083,0,1,58.90727175,61.16977808,58.82516467,61.06030197,8283083
ABBV,1/8/2015,68.16,68.29,67.42,67.63,7945920,0,1,62.18243213,62.30103125,61.50732943,61.69891263,7945920
ABBV,1/9/2015,66.69,67.2,65.11,65.78,8758893,0,1,60.84134975,61.30662323,59.39991426,60.01115589,8758893
ABBV,1/12/2015,66.34,66.928,65.3104,65.76,6159740,0,1,60.52204442,61.05847737,59.58273937,59.99290987,6159740
ABBV,1/13/2015,65.72,66.07,62.91,63.39,13909291,0.49,1,60.4198765,60.74165003,57.83649468,58.2777841,13909291
ABBV,1/14/2015,62.62,64.07,61.86,63.7,9448317,0,1,57.56988232,58.90294411,56.87117407,58.56278352,9448317
ABBV,1/15/2015,64,64.11,62.87,62.89,6149083,0,1,58.83858941,58.93971823,57.79972056,57.81810762,6149083
ABBV,1/16/2015,62.95,64.62,62.64,64.54,8106002,0,1,57.8732688,59.40858824,57.58826938,59.33504,8106002
ABBV,1/20/2015,65.06,65.29,62.75,63.45,9064795,0,1,59.81310354,60.02455472,57.68939821,58.33294528,9064795
ABBV,1/21/2015,63.1,63.45,62.28,62.7,7979249,0,1,58.01117174,58.33294528,57.25730232,57.64343056,7979249
ABBV,1/22/2015,63.2,63.45,61.88,62.98,8941629,0,1,58.10310704,58.33294528,56.88956113,57.90084939,8941629
ABBV,1/23/2015,63.66,63.66,62.35,62.43,6880963,0,1,58.5260094,58.5260094,57.32165702,57.39520526,6880963
ABBV,1/26/2015,62.26,63.04,61.68,62.83,8181088,0,1,57.23891526,57.95601057,56.70569054,57.76294644,8181088
ABBV,1/27/2015,62.33,63.5,62.2,63.1,6532303,0,1,57.30326996,58.37891293,57.18375408,58.01117174,6532303
ABBV,1/28/2015,63.44,63.56,61.69,61.85,6909406,0,1,58.32375175,58.4340741,56.71488407,56.86198054,6909406
ABBV,1/29/2015,62.12,63.38,61.59,63.12,8481477,0,1,57.11020584,58.26859057,56.62294877,58.0295588,8481477
ABBV,1/30/2015,62.09,62.68,60.12,60.35,17582302,0,1,57.08262525,57.6250435,55.27149992,55.4829511,17582302
ABBV,2/2/2015,61.49,61.49,58.65,60.7,11489771,0,1,56.53101348,56.53101348,53.92005107,55.80472464,11489771
ABBV,2/3/2015,61.6,61.76,59.98,61.65,10721752,0,1,56.6321423,56.77923878,55.14279051,56.67810995,10721752
ABBV,2/4/2015,58.95,58.95,56.65,56.91,31249154,0,1,54.19585696,54.19585696,52.08134515,52.32037692,31249154
ABBV,2/5/2015,57.545,58.26,56.15,57.99,18964493,0,1,52.90416605,53.56150342,51.62166867,53.31327812,18964493
ABBV,2/6/2015,57.71,57.83,56.69,56.9,13890796,0,1,53.05585929,53.16618165,52.11811927,52.31118339,13890796
ABBV,2/9/2015,55.67,56.35,55.18,55.48,22521928,0,1,51.18037925,51.80553927,50.7298963,51.00570219,22521928
ABBV,2/10/2015,55.93,57.005,55.6,56.89,18916988,0,1,51.41941102,52.40771546,51.11602455,52.30198986,18916988
ABBV,2/11/2015,57.36,57.83,56.26,56.69,14681352,0,1,52.73408576,53.16618165,51.7227975,52.11811927,14681352
ABBV,2/12/2015,57.4,57.58,56.16,57.05,11940929,0,1,52.77085987,52.93634341,51.6308622,52.44908634,11940929
ABBV,2/13/2015,57.35,58.1,56.9,58.05,11303213,0,1,52.72489223,53.41440695,52.31118339,53.3684393,11303213
ABBV,2/17/2015,58.95,59,57.9,58.72,12789265,0,1,54.19585696,54.24182461,53.23053635,53.98440578,12789265
ABBV,2/18/2015,59.15,59.48,58.305,59.24,10781655,0,1,54.37972755,54.68311403,53.6028743,54.46246932,10781655
ABBV,2/19/2015,58.92,59.08,58.65,59,8665548,0,1,54.16827637,54.31537285,53.92005107,54.24182461,8665548
ABBV,2/20/2015,59.61,61.34,59.22,61.3,15533376,0,1,54.80262991,56.39311053,54.44408226,56.35633642,15533376
ABBV,2/23/2015,61.54,61.9,60.24,60.57,11582656,0,1,56.57698113,56.90794819,55.38182228,55.68520876,11582656
ABBV,2/24/2015,60.85,61.3,60.52,60.87,7900656,0,1,55.94262758,56.35633642,55.63924111,55.96101464,7900656
ABBV,2/25/2015,61.1,61.1,60.21,60.62,9983859,0,1,56.17246582,56.17246582,55.35424169,55.7311764,9983859
ABBV,2/26/2015,60.35,60.81,60.27,60.52,7327885,0,1,55.4829511,55.90585347,55.40940287,55.63924111,7327885
ABBV,2/27/2015,60.53,60.99,60.37,60.5,8649052,0,1,55.64843464,56.071337,55.50133816,55.62085405,8649052
ABBV,3/2/2015,60.3,60.75,60.06,60.46,6150774,0,1,55.43698346,55.85069229,55.21633875,55.58407993,6150774
ABBV,3/3/2015,60.35,60.45,59.4371,59.62,7388032,0,1,55.4829511,55.5748864,54.64367379,54.81182344,7388032
ABBV,3/4/2015,59.32,60.42,59.03,60.27,8535895,0,1,54.53601756,55.54730581,54.2694052,55.40940287,8535895
ABBV,3/5/2015,57.21,59.48,56.649,56.86,47051781,0,1,52.59618281,54.68311403,52.0804258,52.27440928,47051781
ABBV,3/6/2015,56.95,57.4,55.44,55.64,22852963,0,1,52.35715104,52.77085987,50.96892807,51.15279867,22852963
ABBV,3/9/2015,55.93,56.03,55.26,55.54,14779867,0,1,51.41941102,51.51134632,50.80344454,51.06086337,14779867
ABBV,3/10/2015,55.22,56.3,54.78,55.84,17907725,0,1,50.76667042,51.75957162,50.36215512,51.33666926,17907725
ABBV,3/11/2015,56.19,56.8772,55.6628,56.62,14628990,0,1,51.65844279,52.29022215,51.17375991,52.05376457,14628990
ABBV,3/12/2015,56.78,58.905,56.65,58,18227835,0,1,52.20086104,54.15448608,52.08134515,53.32247165,18227835
ABBV,3/13/2015,58.12,58.87,57.345,58,10114502,0,1,53.43279401,54.12230872,52.72029546,53.32247165,10114502
ABBV,3/16/2015,58.46,59.7,58.33,59.12,12098670,0,1,53.74537401,54.88537168,53.62585813,54.35214696,12098670
ABBV,3/17/2015,58.72,60.18,58.7,59.73,10983450,0,1,53.98440578,55.3266611,53.96601872,54.91295227,10983450
ABBV,3/18/2015,59.76,60.42,59.25,59.89,11889103,0,1,54.94053286,55.54730581,54.47166285,55.06004874,11889103
ABBV,3/19/2015,60.09,61.4762,59.99,61.19,14110366,0,1,55.24391934,56.51832641,55.15198404,56.25520759,14110366
ABBV,3/20/2015,61.5,61.73,60.32,60.4,13313128,0,1,56.54020701,56.75165819,55.45537052,55.52891875,13313128
ABBV,3/23/2015,60.05,61.19,59.62,60.48,7926391,0,1,55.20714522,56.25520759,54.81182344,55.60246699,7926391
ABBV,3/24/2015,60.65,60.82,59.45,59.63,7969786,0,1,55.75875699,55.915047,54.65553344,54.82101697,7969786
ABBV,3/25/2015,60.08,60.09,58.21,58.22,11619133,0,1,55.23472581,55.24391934,53.51553577,53.5247293,11619133
ABBV,3/26/2015,57.98,58.09,57.22,57.27,10853808,0,1,53.30408459,53.40521342,52.60537634,52.65134399,10853808
ABBV,3/27/2015,57.63,58.05,57.31,57.65,6829781,0,1,52.98231105,53.3684393,52.68811811,53.00069811,6829781
ABBV,3/30/2015,57.93,58.34,57.79,58.24,5781559,0,1,53.25811694,53.63505166,53.12940753,53.54311636,5781559
ABBV,3/31/2015,58.01,58.81,57.71,58.54,12313641,0,1,53.33166518,54.06714755,53.05585929,53.81892225,12313641
ABBV,4/1/2015,58.48,58.49,56.33,57.1,14903269,0,1,53.76376107,53.7729546,51.78715221,52.49505399,14903269
ABBV,4/2/2015,57.44,57.81,56.9,57.01,8787023,0,1,52.80763399,53.14779459,52.31118339,52.41231222,8787023
ABBV,4/6/2015,56.81,57.89,56.68,57.61,10280058,0,1,52.22844163,53.22134282,52.10892574,52.963924,10280058
ABBV,4/7/2015,58.25,58.75,57.785,58.42,10171455,0,1,53.55230989,54.01198637,53.12481076,53.70859989,10171455
ABBV,4/8/2015,58.5,58.98,57.95,58.81,11075839,0,1,53.78214813,54.22343755,53.276504,54.06714755,11075839
ABBV,4/9/2015,59.2,60.43,59.05,60.32,12697994,0,1,54.4256952,55.55649934,54.28779226,55.45537052,12697994
ABBV,4/10/2015,60.5,62.33,60.32,62,17894054,0,1,55.62085405,57.30326996,55.45537052,56.99988349,17894054
ABBV,4/13/2015,61.81,62.16,61.06,61.2,11400898,0.51,1,57.29874981,57.62320479,56.60348914,56.73327113,11400898
ABBV,4/14/2015,61.4,61.81,60.51,61.72,13071393,0,1,56.91867398,57.29874981,56.09363131,57.21531853,13071393
ABBV,4/15/2015,62.1,62.7,61.97,62.03,11534244,0,1,57.56758394,58.12379248,57.44707209,57.50269294,11534244
ABBV,4/16/2015,61.8,62.91,61.65,62.59,9815626,0,1,57.28947967,58.31846547,57.15042754,58.02182092,9815626
ABBV,4/17/2015,62.12,62.79,61.87,62.29,9905475,0,1,57.58612423,58.20722376,57.35437067,57.74371664,9905475
ABBV,4/20/2015,62.91,64,62.8,63.54,12779184,0,1,58.31846547,59.32891099,58.2164939,58.90248444,12779184
ABBV,4/21/2015,63.89,64.24,63.27,63.61,8457272,0,1,59.22693942,59.5513944,58.65219059,58.96737543,8457272
ABBV,4/22/2015,63.6,64.73,63.5605,64.52,13872497,0,1,58.95810529,60.00563138,58.92148823,59.81095839,13872497
ABBV,4/23/2015,65.26,65.31,62.73,64.25,18405130,0,1,60.49694892,60.54329963,58.15160291,59.56066454,18405130
ABBV,4/24/2015,64.31,66.37,64.14,66.07,14859514,0,1,59.6162854,61.52593472,59.45869298,61.24783045,14859514
ABBV,4/27/2015,66.02,66.66,64.86,65.02,18141505,0,1,61.20147974,61.79476885,60.12614323,60.2744655,18141505
ABBV,4/28/2015,64.6,66.49,64.2,66.49,13084546,0,1,59.88511953,61.63717643,59.51431383,61.63717643,13084546
ABBV,4/29/2015,65.7,66.18,65.51,65.63,9864252,0,1,60.90483518,61.34980202,60.72870248,60.83994419,9864252
ABBV,4/30/2015,65.39,65.92,64.32,64.66,10298594,0,1,60.61746077,61.10877831,59.62555554,59.94074038,10298594
ABBV,5/1/2015,65.09,65.5,63.88,64.32,9870805,0,1,60.3393565,60.71943234,59.21766928,59.62555554,9870805
ABBV,5/4/2015,64.32,65.4375,64.01,64.68,8493439,0,1,59.62555554,60.66149395,59.33818113,59.95928066,8493439
ABBV,5/5/2015,64.2,64.9,63.78,63.86,7635922,0,1,59.51431383,60.1632238,59.12496785,59.19912899,7635922
ABBV,5/6/2015,64.11,64.529,63.4,63.94,8476305,0,1,59.43088255,59.81930152,58.77270244,59.27329013,8476305
ABBV,5/7/2015,63.59,64.81,63.59,64.7,8638220,0,1,58.94883515,60.07979251,58.94883515,59.97782095,8638220
ABBV,5/8/2015,65.1,65.8,64.9,65.24,7541105,0,1,60.34862664,60.99753661,60.1632238,60.47840864,7541105
ABBV,5/11/2015,65.19,65.8,65.08,65.2,7978734,0,1,60.43205792,60.99753661,60.33008636,60.44132807,7978734
ABBV,5/12/2015,64.75,65.27,64.59,64.81,5926876,0,1,60.02417166,60.50621906,59.87584938,60.07979251,5926876
ABBV,5/13/2015,64.98,65.32,64.63,65.3,8519240,0,1,60.23738493,60.55256977,59.91292995,60.53402949,8519240
ABBV,5/14/2015,65.86,66.27,64.94,65.97,5868887,0,1,61.05315746,61.4332333,60.20030437,61.15512903,5868887
ABBV,5/15/2015,65.93,66.52,65.91,65.99,6786394,0,1,61.11804846,61.66498686,61.09950817,61.17366931,6786394
ABBV,5/18/2015,65.79,65.91,65.14,65.61,7858040,0,1,60.98826646,61.09950817,60.38570721,60.8214039,7858040
ABBV,5/19/2015,65.71,66.12,65.4,65.73,7674605,0,1,60.91410533,61.29418116,60.62673091,60.93264561,7674605
ABBV,5/20/2015,65.92,66.2,65.39,65.89,9955983,0,1,61.10877831,61.3683423,60.61746077,61.08096789,9955983
